sales_person,sales_department,amount,quantity,street,city,state,item_id,date
Nell Lindup,Department C,$78.08,52,3 Hallows Park,Charleston,West Virginia,9edfdfe8c55b5cf1a815b179f34b0592,6/14/2017
Atlante Harower,Department D,$78.45,66,51 Cordelia Hill,Denver,Colorado,34bf5dc23eb86a527c8dfe93cb5eb51c,1/26/2017
Shane Simkins,Department B,$79.06,77,156 Fulton Court,Albany,New York,b75cb0140cce6d9d86bd3900983d4305,3/30/2017
Celestyna Erskine,Department C,$4.02,74,964 Summit Plaza,Rochester,Minnesota,e67b4ee1706af5b12d53b04fb8a75d05,10/4/2016
Linn Becerra,Department B,$0.23,34,5964 Pierstorff Point,Saint Petersburg,Florida,723ec4fdf03097f000ed551ec605aec6,5/16/2016
Powell Amorts,Department B,$97.85,58,6 Shopko Point,Corpus Christi,Texas,d30859539d0c8b42fd6aa117fb3ef173,9/23/2016
Atlante Harower,Department D,$63.63,21,2 Sullivan Court,Warren,Ohio,b0efd24cc8716e35a04895b7a79a7b8f,8/3/2017
Jacquette Oakley,Department C,$54.77,8,446 Bowman Terrace,Columbus,Mississippi,e4ecce0bed14c814dd0be62ad243a81c,5/11/2017
Zebedee Kedge,Department A,$76.60,61,0 Dayton Avenue,Chicago,Illinois,f57fbd7a8e86c48c89a0cfe037280b51,4/21/2016
Modesty Berringer,Department D,$68.60,21,51 Ridge Oak Court,Atlanta,Georgia,e51cb1b5164b17bc58622669f611ef0a,12/23/2016
Jacquette Oakley,Department C,$38.68,75,0909 Cottonwood Parkway,Denver,Colorado,92736fec379c1dd2bc2cce9e6c1682c3,2/23/2016
Linn Becerra,Department B,$12.90,56,274 Anderson Parkway,Milwaukee,Wisconsin,74a3fdb75aa7af34cb66925a8cb65576,6/4/2016
Krystle Boothe,Department D,$76.20,25,24 Blue Bill Park Road,Washington,District of Columbia,2d0f8cb9ee0e6a5e77daeb451b94283b,3/1/2016
Modesty Berringer,Department D,$92.68,39,2 Roxbury Circle,Reston,Virginia,7221eb56e284c283e78953fa8db9bfbc,2/10/2016
Linn Becerra,Department B,$38.51,78,1261 Judy Center,Kansas City,Missouri,36f3b558e6e6326ab5fb2b0262ca24c1,8/27/2017
Powell Amorts,Department B,$15.30,93,351 Weeping Birch Junction,Carson City,Nevada,36ebf8726d11c50b75e735b921a7f063,4/3/2016
Dallas Le,Department B,$27.71,64,190 Union Terrace,Raleigh,North Carolina,2d995a4675876cc58df507fd87e5cad3,4/23/2017
Modesty Berringer,Department D,$50.80,77,6 Glacier Hill Circle,Philadelphia,Pennsylvania,3107a2a20d68a25857f60969ba75fdb6,4/14/2017
Dallas Le,Department B,$48.28,44,0133 Straubel Trail,Reno,Nevada,84e57b877f2df2ac17f5ddb8c5368208,6/7/2016
Powell Amorts,Department B,$64.48,3,1602 Fallview Crossing,Charleston,West Virginia,d77d7400a3f7313063e0d9adc910bf54,10/1/2016
Brear Fairs,Department D,$39.05,72,75624 Tomscot Avenue,Albany,New York,4ccae0d73ac686ffb18c36866b23be04,10/8/2016
Ignacio Arpur,Department A,$58.83,46,33416 Hansons Place,Midland,Texas,b7a8c61892b1f5f7e2f46b5302dc1c99,5/20/2017
Krystle Boothe,Department D,$82.41,51,48 Clarendon Avenue,Lexington,Kentucky,55611bb7ada55c335595470462e5a36b,3/4/2017
Krystle Boothe,Department D,$19.29,57,9653 Fulton Point,Clearwater,Florida,408e0be620be2c48c19a363f35f90e29,7/12/2016
Dallas Le,Department B,$10.49,83,14282 Pearson Lane,Colorado Springs,Colorado,20a85b7c005708160d6d2370a269a756,9/2/2016
Bartholemy Kment,Department B,$52.55,31,69 Mockingbird Terrace,Greensboro,North Carolina,c838dc8bebb11e3c2f9fed2e9becc2f5,2/28/2016
Bartholemy Kment,Department B,$20.87,84,26049 Grayhawk Way,Portland,Oregon,c07681bda204a53c9da6341d1c8852a8,1/29/2017
Bartholemy Kment,Department B,$43.37,10,892 School Center,Albany,New York,4c9766258a88f101eae38a66440abd3a,1/12/2016
Bartholemy Kment,Department B,$88.17,41,273 Goodland Junction,Albany,New York,673a0b70b00398830b3956905ffe00f3,7/12/2017
Celestyna Erskine,Department C,$11.12,12,3 Caliangt Road,New York City,New York,c2366bf9119143291e9882e4f8e62f0f,7/30/2017
Jacquette Oakley,Department C,$92.33,85,04 Westerfield Plaza,San Francisco,California,0e0e7f8e4167429fde20d1c4b4b4c3ee,4/23/2017
Shane Simkins,Department B,$27.76,33,3539 Village Junction,Buffalo,New York,614f4e0640c201ad274e4cb8bc4196f6,6/21/2017
Linn Becerra,Department B,$39.99,30,029 Dwight Center,Kansas City,Kansas,18f25fae142857298639e458e6caffcd,9/30/2016
Shena Reeson,Department B,$91.24,65,82 Arkansas Way,Valdosta,Georgia,ad4e4207b59ecad826fc73d89aa736bb,3/6/2017
Dallas Le,Department B,$88.33,4,6 Pankratz Street,Cape Coral,Florida,b79fbff145fb1ddf78aeb20909b937a2,8/24/2017
Nell Lindup,Department C,$60.27,68,8 Dryden Parkway,Bethesda,Maryland,e34b737d9a79ffee4c859457bf703ea7,1/30/2016
Ortensia Le,Department C,$35.72,47,223 Blackbird Road,Midland,Michigan,7b9dab2e5945cb7bc3a22617822e5d23,11/5/2016
Zaneta Delmage,Department B,$3.13,61,603 Morning Court,Charlotte,North Carolina,a90a1d1c328694b08b6304cfe42ec949,2/2/2016
Modesty Berringer,Department D,$89.34,98,968 Hintze Plaza,Reston,Virginia,2a5acc915e8d2b300627d8ea3aba6fb6,6/10/2017
Jacquette Oakley,Department C,$87.84,3,11 Tennyson Junction,Memphis,Tennessee,43001aef5d7914e77d7d52f5e9f2e825,11/7/2016
Brear Fairs,Department D,$13.35,55,5469 Fremont Street,Washington,District of Columbia,627b8a87e82d8ad2a9275c405bb193e6,7/29/2017
Bartholemy Kment,Department B,$55.36,13,85 Warrior Point,Louisville,Kentucky,eb329c546c594c88395d78555741df76,8/17/2017
Ortensia Le,Department C,$90.35,38,20 Anniversary Road,Des Moines,Iowa,485e1bef6a69fdfacbef1bd963371202,7/19/2016
Ignacio Arpur,Department A,$63.52,79,9393 School Court,Saint Louis,Missouri,dde0d442487dc5c28e3fdb07ae949795,5/25/2017
Chad Yeatman,Department A,$28.64,40,00157 Calypso Junction,Detroit,Michigan,b016bda182983e8979eba987cd234e60,1/29/2016
Shena Reeson,Department B,$56.17,53,8061 Morrow Court,Lexington,Kentucky,6faee28acd981f167c4a485fd2348fa2,1/17/2017
Zaneta Delmage,Department B,$48.00,87,406 Lighthouse Bay Trail,Lancaster,Pennsylvania,b71238dd7e5a6d3fe6bb8fdc83014388,5/29/2016
Linn Becerra,Department B,$78.61,29,3 Menomonie Crossing,El Paso,Texas,a32da0118456254b6a7b94d404eeba81,12/18/2016
Atlante Harower,Department D,$95.69,89,2595 Reinke Drive,Fort Pierce,Florida,7089f83a1a13ad0c5025b8516b521ff3,7/26/2017
Rutherford Kermath,Department D,$88.07,65,88 Stephen Point,Ashburn,Virginia,c71c13f15902bd2a2e09cd33843893e7,12/23/2016
Powell Amorts,Department B,$47.14,17,4917 Crest Line Court,Rochester,New York,d2152ba79acb2ccc32e8ee2eb395dc1e,3/8/2016
Modesty Berringer,Department D,$43.65,6,128 Northview Parkway,Santa Monica,California,4921d39ad33057875f8d352537df746d,3/20/2016
Chad Yeatman,Department A,$1.12,10,62271 Jenifer Avenue,Birmingham,Alabama,bc5df47b32c862212c56b933afb01154,1/28/2016
Gothart Whimpenny,Department C,$12.46,82,1 Bay Trail,Abilene,Texas,0f4751d0f34e4f6a15e67ea18a67fe91,2/17/2017
Shane Simkins,Department B,$64.73,77,9 Mallard Hill,Atlanta,Georgia,78cf818ad2331bf30403bda296f33158,7/22/2017
Atlante Harower,Department D,$16.23,72,5867 Birchwood Terrace,Atlanta,Georgia,d5ecc845262e5e280ff7696a2b0fd45a,1/24/2017
Chad Yeatman,Department A,$3.36,56,26550 Burning Wood Circle,Apache Junction,Arizona,71ee486dd67f78bf48d0b7bf9ac4f46e,7/21/2016
Gothart Whimpenny,Department C,$86.05,27,59983 Mcguire Center,Panama City,Florida,3ac18ef7e7cb9cfeebb2f66e816f1f60,2/15/2017
Brear Fairs,Department D,$29.88,23,55 Susan Avenue,Saint Louis,Missouri,1122f90b31f1807bd6d586b28451810b,5/14/2016
Zaneta Delmage,Department B,$21.92,34,37134 Clemons Parkway,Decatur,Georgia,5fac386e2596956f29a8bb0e20eed92d,4/3/2016
Shena Reeson,Department B,$41.05,65,541 Milwaukee Alley,Sacramento,California,c34d95274e5bf7b8c78b0fba87310f14,1/12/2017
Shena Reeson,Department B,$61.81,49,4 School Lane,Omaha,Nebraska,d11be86cf7d9409d68f1c712ba88170f,1/28/2017
Shane Simkins,Department B,$47.33,29,51917 Chive Center,Memphis,Tennessee,54743cd1514c52983f01d9427525d57f,12/27/2016
Gothart Whimpenny,Department C,$98.08,14,65 Coleman Center,Roanoke,Virginia,0dfaac99fae4893246fe8941d90263ab,1/16/2016
Chad Yeatman,Department A,$69.59,49,54860 Toban Center,Lehigh Acres,Florida,481464272db933919c7dfc46de75a82a,2/9/2016
Zaneta Delmage,Department B,$56.94,90,921 Vidon Hill,Scranton,Pennsylvania,12140e4d268411a0c907abca24c9253f,4/11/2016
Celestyna Erskine,Department C,$90.31,30,97 Lillian Parkway,San Diego,California,c72acfdf477fb2878285ad78a103cdf7,1/2/2016
Bartholemy Kment,Department B,$89.49,93,2466 Atwood Terrace,Colorado Springs,Colorado,c081ef53c03e62019a3eeffcaaf7af06,2/27/2017
Powell Amorts,Department B,$57.99,7,5507 Grayhawk Crossing,San Diego,California,6e4f139b25e1c80e67e72acf0d129ff2,3/16/2016
Shena Reeson,Department B,$92.57,41,48 Holmberg Way,Annapolis,Maryland,adc258f4e9c59f83b57d04266145d243,5/23/2017
Powell Amorts,Department B,$93.61,56,2 Cherokee Court,Columbus,Ohio,1a50ef91d111b2ebf027f91b7818513f,8/5/2016
Gothart Whimpenny,Department C,$23.04,37,54 Tennessee Street,Nashville,Tennessee,358fce01fc3a476b11c05fce11023563,3/26/2017
Ortensia Le,Department C,$41.20,17,79 Susan Way,Honolulu,Hawaii,841f8fbceb2bf35d37cc55305a58da79,4/17/2017
Bartholemy Kment,Department B,$93.40,76,5 Burrows Court,Boynton Beach,Florida,ad81f4b285cd1b9206ab5c0151146a8e,10/8/2016
Rutherford Kermath,Department D,$17.10,81,216 Amoth Alley,Roanoke,Virginia,ef19c669c74081444f4de35a473e5f11,8/28/2017
Rutherford Kermath,Department D,$39.69,53,190 Almo Point,Vancouver,Washington,cb8e48f16e5ab7eee42139f1a1fcf88d,6/6/2016
Ignacio Arpur,Department A,$35.80,64,45205 Corry Place,Naples,Florida,ccc75dd6c566911c76a161b4936d54ce,5/25/2016
Jacquette Oakley,Department C,$13.98,18,49136 Surrey Circle,Stockton,California,7bd6cb3acbc5033dd3211acf862ac93b,8/20/2016
Brear Fairs,Department D,$88.27,1,0660 Oak Valley Lane,San Antonio,Texas,6340ab8073ae7f74df0834f7f985ab24,9/2/2016
Powell Amorts,Department B,$40.31,58,5084 Almo Circle,Gaithersburg,Maryland,a0e302d408fd3d50612c5b040ddf2104,5/26/2016
Ignacio Arpur,Department A,$94.92,48,35485 Duke Lane,Saint Paul,Minnesota,b712ccd85ffdd21e8c03a135ceb1ce3d,2/22/2016
Ashleigh Baudinot,Department D,$65.46,22,0 Forest Dale Circle,Lancaster,Pennsylvania,f958516b5fae61a28ecba3247075e4c8,4/2/2016
Jacquette Oakley,Department C,$41.84,20,4 Macpherson Point,Columbus,Ohio,842dc0bc8171454d00aed2d42805767e,2/10/2017
Zebedee Kedge,Department A,$87.71,92,36352 Kingsford Terrace,Homestead,Florida,ab59175a4ab901c59721c2abd1e988c9,6/4/2017
Krystle Boothe,Department D,$5.20,81,9 Shopko Crossing,Hartford,Connecticut,d237a5230c0802b6b3870fb3fc8b6c18,9/5/2016
Brear Fairs,Department D,$22.05,28,9 Mayer Pass,Orlando,Florida,c1cd9face9c1f41bd17dd25d3cce61f3,1/31/2017
Krystle Boothe,Department D,$65.36,6,2 Coolidge Point,New Orleans,Louisiana,24333c8767790de421ee12dbacd461d5,3/25/2016
Zaneta Delmage,Department B,$71.42,54,2254 1st Center,Phoenix,Arizona,afb81ee7dd00ba1170161334b90fea4b,3/20/2017
Rutherford Kermath,Department D,$93.30,34,6 6th Plaza,Peoria,Arizona,365eebc65bb1475cfd766c3803fcbc89,3/19/2017
Bartholemy Kment,Department B,$70.01,78,68 Commercial Junction,Buffalo,New York,32efe78a5f50b21744ed811ac631d034,2/9/2016
Brear Fairs,Department D,$88.88,56,3337 Alpine Crossing,Long Beach,California,1cd1db79dd4cba99346f64d92fa280d0,3/12/2017
Jacquette Oakley,Department C,$46.57,49,303 Golf Junction,Bozeman,Montana,74977e0a43aed4b59724559ba8706021,7/12/2016
Nell Lindup,Department C,$60.00,20,85 Pennsylvania Circle,Raleigh,North Carolina,a0a4354bad8d22a5bea55e8321c11169,3/15/2016
Zebedee Kedge,Department A,$42.05,88,4933 Shopko Trail,Sacramento,California,f9db2787dc62c23e3fc078b0127711dd,11/2/2016
Bartholemy Kment,Department B,$15.80,85,45 Jenifer Parkway,Reno,Nevada,01fce16582f9e2b8ba65392937d61d5c,10/5/2016
Modesty Berringer,Department D,$65.86,98,57478 Golf Course Park,Henderson,Nevada,71771b64e859eb0f71f66a188741baa1,10/14/2016
Celestyna Erskine,Department C,$65.34,6,362 Corben Hill,Miami,Florida,e4f5d59c1081df2b9c09a27bb0e19021,8/27/2017
Zebedee Kedge,Department A,$90.48,49,8 Hollow Ridge Place,Louisville,Kentucky,37b4c08839874261ff8a1431552899f1,12/12/2016
Ortensia Le,Department C,$76.35,26,48 Dennis Circle,Inglewood,California,2aa50b12042050c6c1ba8891424b5122,2/1/2017
Rutherford Kermath,Department D,$11.42,91,87687 Waywood Park,Stamford,Connecticut,5c24da6214e7c9047496de7cd87c2695,4/13/2016
Zaneta Delmage,Department B,$76.89,99,8 Rigney Drive,Kansas City,Missouri,750f42b0386854a97804f7fbe60ba8d0,3/12/2017
Jacquette Oakley,Department C,$81.74,37,169 Badeau Pass,Little Rock,Arkansas,a3ff2ce7d97f076fee7550809cb176cb,6/18/2016
Jacquette Oakley,Department C,$55.56,42,8 Green Ridge Avenue,Vancouver,Washington,dcc36193139f3763d55d4a0eae9027d0,4/5/2017
,,,75,65 Grasskamp Terrace,Saint Petersburg,Florida,69dad461f886acec18d1d0fb142ab520,7/4/2016
Modesty Berringer,Department D,$77.07,78,668 Erie Hill,Denver,Colorado,8228b58feb10ed4b2879f0d6daff0dc7,11/25/2016
Nell Lindup,Department C,$59.29,77,53139 Porter Hill,Hartford,Connecticut,9bbf001e84eddd4aa1441bc4dc233062,7/11/2017
Celestyna Erskine,Department C,$82.86,71,1553 Melrose Terrace,Oklahoma City,Oklahoma,a49b6e6edba80c6449da1d16553c3944,5/9/2017
Jacquette Oakley,Department C,$54.70,11,39 Washington Road,Garland,Texas,623481f0b3ecd00be6627c7291a07faf,3/29/2017
Shena Reeson,Department B,$89.97,100,9086 Lakewood Park,Colorado Springs,Colorado,dde4fe12d4229639e533b86ecd62f7e9,8/27/2017
Dallas Le,Department B,$72.93,46,7648 Hoffman Center,New York City,New York,32c58b9f3b5acb2dfd19d2775b3ef4c7,6/12/2017
,,,71,9880 Northland Point,Norfolk,Virginia,074375e1e28de1b377ad1153eda3e9ba,3/14/2016
Brear Fairs,Department D,$31.61,100,97685 Columbus Center,Warren,Ohio,2c96f02f652e3e3253d10dac5cdebe64,5/2/2017
Krystle Boothe,Department D,$49.23,4,07 Longview Junction,Bakersfield,California,244258794d24715c6275010eea33b560,4/16/2017
Atlante Harower,Department D,$8.43,61,67 Main Avenue,Longview,Texas,bfd6a01a89fff5ac908a460ca9b71aea,4/11/2016
Ortensia Le,Department C,$4.11,28,04 Delaware Place,Nashville,Tennessee,9ef778551bc2fd21a0d7ee7f964be717,5/13/2017
Ortensia Le,Department C,$94.08,50,2166 Grover Plaza,Albany,New York,4147de93171d6e9f4180b8e6f54bec9b,12/29/2016
Chad Yeatman,Department A,$46.90,50,90 Rockefeller Place,Vancouver,Washington,47153c2ef5ef010cd3adb6c8a3687020,7/18/2017
Dallas Le,Department B,$15.90,59,42389 Esker Way,Tampa,Florida,3794fb43e197b245fd5c148bc7cee1b4,4/30/2016
Nell Lindup,Department C,$14.51,87,6568 Magdeline Circle,Atlanta,Georgia,fdccd713dec0f0f1db5ffd6fffc7e368,5/28/2016
Ashleigh Baudinot,Department D,$81.81,10,502 Sunfield Trail,Miami,Florida,fe653b3a6e5c0c2a8e9cabc3b5b7c8f1,9/21/2016
Zaneta Delmage,Department B,$88.59,8,7 Clemons Alley,Lexington,Kentucky,ea5beb5e5927f065d9adee33bed6a912,8/10/2016
Modesty Berringer,Department D,$62.43,95,31 Trailsway Junction,Washington,District of Columbia,3315a38be1fa589719b93859b73eaf20,6/22/2016
Chad Yeatman,Department A,$7.05,18,699 Caliangt Alley,Simi Valley,California,5ce24d1203aa060e9676483cba1b475e,3/14/2016
Modesty Berringer,Department D,$39.36,41,62019 Southridge Road,Birmingham,Alabama,db35c093e45ffd16d979738bdee2e9d1,5/7/2016
Nell Lindup,Department C,$19.69,7,9 West Way,Naples,Florida,b68223447b77921a84bbb1b2836671be,2/28/2016
Shane Simkins,Department B,$95.73,45,88698 Lien Park,Oklahoma City,Oklahoma,4da9aad672221ccd6f2bf8e393c4fa33,6/14/2016
Rutherford Kermath,Department D,$1.36,32,4 Moulton Plaza,El Paso,Texas,f90b49c048ddcd31fa7148f7e008e13a,11/9/2016
Atlante Harower,Department D,$53.82,59,1538 Manufacturers Drive,Detroit,Michigan,0cfbbe6a02e42443c7f3771c01c528f9,7/9/2016
Gothart Whimpenny,Department C,$51.08,53,179 Amoth Center,Cleveland,Ohio,d8bafc4406ad22bfa84bc0236d9575b1,7/18/2017
Chad Yeatman,Department A,$58.19,20,009 Pleasure Way,Phoenix,Arizona,c7e67743b85eebeadcbe94bf8d537249,8/20/2016
Bartholemy Kment,Department B,$94.65,67,0 Weeping Birch Drive,Indianapolis,Indiana,723795edf1839922f62d8d8f15044762,7/31/2016
Ashleigh Baudinot,Department D,$55.82,7,17 Dapin Crossing,Bronx,New York,210ec62d1420fb35117b65d62342478b,11/14/2016
Brear Fairs,Department D,$95.61,46,8 Magdeline Alley,Richmond,Virginia,ee0761f6c78462c934602782e61d4320,4/26/2017
Ashleigh Baudinot,Department D,$4.92,49,6810 Reinke Street,Charleston,West Virginia,092134410ad89f2552e913c01071dd68,2/10/2016
,,,59,8 3rd Park,Indianapolis,Indiana,de6ca0e8785b23590c603d9e1d7c84df,7/22/2016
Jacquette Oakley,Department C,$97.49,8,597 Michigan Parkway,Shawnee Mission,Kansas,a634cf638588036517b0d86f476a3f95,3/13/2016
Rutherford Kermath,Department D,$57.23,28,42 Dapin Hill,Phoenix,Arizona,e0940eb11d2600b629fad619b5b2663f,6/1/2017
Rutherford Kermath,Department D,$18.62,59,2390 Lotheville Hill,Louisville,Kentucky,c4c735fa60b7f7b7186b5cc3aa575c78,8/28/2016
Ignacio Arpur,Department A,$97.53,91,84462 Dovetail Crossing,Reading,Pennsylvania,7e1673ede4b9b1f8440c6eb423ec66cc,8/16/2017
Zaneta Delmage,Department B,$72.39,4,71 Straubel Lane,Albany,Georgia,4978e074de61840a89a3eac6db7fd2fb,3/2/2017
Atlante Harower,Department D,$31.49,74,4150 Menomonie Crossing,Oklahoma City,Oklahoma,cd1c007389ccfde92f04f008137e916a,1/3/2016
Jacquette Oakley,Department C,$55.19,17,4298 International Park,Alhambra,California,1909f6f29ba1944ed40bf8dfb4f72366,1/9/2017
Ortensia Le,Department C,$50.51,98,65 South Hill,Atlanta,Georgia,dd8fb7f4c513c6356bdc28cc040ed5eb,2/13/2017
Celestyna Erskine,Department C,$18.75,36,518 Esch Trail,Knoxville,Tennessee,ac9a3ebe0f6600391eb85604709fc947,2/26/2017
Rutherford Kermath,Department D,$6.65,24,33 Riverside Avenue,San Diego,California,d6260bf5f205cf3624fde7b2e728c1f5,12/13/2016
Ignacio Arpur,Department A,$49.67,13,5613 Hoard Point,Fort Collins,Colorado,34e9e3f7fa47c93bf048f3b96ae621c1,10/13/2016
Brear Fairs,Department D,$19.40,17,9 Crescent Oaks Crossing,Vero Beach,Florida,90515eb4bb9048d42a3e4d2ed43178f6,11/4/2016
Atlante Harower,Department D,$21.15,74,14 Columbus Drive,Silver Spring,Maryland,93c48dfc0a27cbace00dc8e85775f1eb,8/24/2016
Rutherford Kermath,Department D,$94.65,13,2941 Morningstar Avenue,Indianapolis,Indiana,5914aceb2d9213ba6f616d2d62e98bbd,1/7/2016
Shena Reeson,Department B,$15.87,56,530 Graedel Junction,Corona,California,5f4b63804eb74183e112eb2d20ae043d,3/21/2017
Dallas Le,Department B,$94.05,100,40 Charing Cross Lane,Topeka,Kansas,13a208bc3f01e03ab8b84aceb4ae4ccc,5/14/2016
,,,87,25414 Glacier Hill Center,Omaha,Nebraska,7cb418a458de153ee8a7f934e319bc73,1/17/2017
Zebedee Kedge,Department A,$11.78,92,263 Banding Terrace,Brooklyn,New York,2f532d89b7f62f15475374df4d617970,11/9/2016
Ignacio Arpur,Department A,$37.30,37,1 Acker Crossing,Beaumont,Texas,bdb6269189c86195b9867b92c3e79b48,9/1/2016
Gothart Whimpenny,Department C,$4.90,3,88 Lerdahl Point,Albany,New York,5d7e7adfa8214f701a48f7b6c59e1139,4/29/2016
,,,20,6 Portage Point,Colorado Springs,Colorado,9d9b75299666b1ce26e98fc6db4d8f50,1/2/2017
Celestyna Erskine,Department C,$84.71,88,00743 Sullivan Parkway,Canton,Ohio,fef4be1cd6c93d64afbb34592f2b62b8,3/23/2017
Linn Becerra,Department B,$53.07,16,47950 Mandrake Circle,New York City,New York,97f30ca625aad12d6810a184f5745b3e,8/19/2017
Atlante Harower,Department D,$1.80,77,285 Independence Alley,Pueblo,Colorado,3b8d54b44236252b36925528390b2ab1,2/28/2017
Linn Becerra,Department B,$13.31,6,777 Bashford Terrace,Portland,Oregon,7287083b7f1fb7dbe8d3557b6f23d2c1,3/11/2016
Nell Lindup,Department C,$64.78,51,0157 Canary Avenue,Mobile,Alabama,06fdd901774023f7934cb8645720f222,7/12/2017
Rutherford Kermath,Department D,$23.75,13,5 4th Circle,Tacoma,Washington,aeac870f7639981c2d5a086de9d72e84,7/8/2016
Modesty Berringer,Department D,$69.08,78,9 Melvin Road,Honolulu,Hawaii,c55a66fc4846805d910762647084848a,2/24/2017
Atlante Harower,Department D,$52.47,81,48 Meadow Ridge Avenue,Fort Worth,Texas,44896d1845515c8a7bd33646f5d24d7c,12/7/2016
Krystle Boothe,Department D,$85.79,95,36306 Loftsgordon Way,Irvine,California,611dcbb597c804de8103c4b3b2b20c72,6/20/2017
Gothart Whimpenny,Department C,$13.33,10,717 Memorial Parkway,Humble,Texas,fe51961669afc08cb9ba68e0a4e30c78,12/18/2016
Ignacio Arpur,Department A,$56.64,11,52447 David Center,Fort Lauderdale,Florida,f572e3a1122df9d9d31467514d7d789b,12/8/2016
Linn Becerra,Department B,$1.13,85,6686 Bowman Park,Silver Spring,Maryland,8886a463ad37df2462bfb167bda8c071,5/3/2017
Powell Amorts,Department B,$67.36,25,0907 Utah Alley,Beaumont,Texas,601ea8414713995222f0288fc2ca4130,6/10/2017
Gothart Whimpenny,Department C,$67.88,44,585 Emmet Place,Fayetteville,North Carolina,c42e85cb32ec170615a2c59c741773ab,7/18/2016
Brear Fairs,Department D,$42.68,27,84 Sherman Court,Hattiesburg,Mississippi,6fcbede656435ba92f8b13c45ef24ea0,4/19/2016
Modesty Berringer,Department D,$48.75,56,36509 Schlimgen Alley,Saint Paul,Minnesota,84c6606fd04bcc02ebc7ce0d54beb28d,1/31/2017
Gothart Whimpenny,Department C,$71.17,43,23 Messerschmidt Terrace,Des Moines,Iowa,9ae1421ce68cd7b83b55ada235ee5910,9/25/2016
Jacquette Oakley,Department C,$24.43,55,706 Artisan Terrace,Kansas City,Missouri,b295b57fb24d9e1bebf20d9ba7921a2d,4/12/2016
Powell Amorts,Department B,$83.47,46,9344 Oakridge Alley,Loretto,Minnesota,ff2c94f6d79b691dede88d9354effd29,8/18/2017
Ignacio Arpur,Department A,$27.26,96,8691 Graceland Terrace,Utica,New York,074c1661c283b9198754b11c98c797ff,7/1/2016
Ortensia Le,Department C,$83.44,18,3 Kedzie Avenue,Carol Stream,Illinois,bca45b9952f834eb5a895a4b2e2c8642,11/28/2016
Shane Simkins,Department B,$48.83,10,2 Forest Run Parkway,Galveston,Texas,3df125040efacf28635e8d16e7ccbb64,5/19/2017
Chad Yeatman,Department A,$7.36,70,5204 Sutherland Junction,Houston,Texas,308c5f15fdb31db2c4cf996b63d49c5e,4/2/2016
Rutherford Kermath,Department D,$39.83,28,67 Kenwood Circle,Iowa City,Iowa,0f575ba6205fd1aad647c4658da6b318,1/4/2016
Linn Becerra,Department B,$94.38,69,18577 Mifflin Lane,Richmond,California,59df768c518dfbb2ead8291a0cb30d27,1/9/2016
Celestyna Erskine,Department C,$78.90,99,28420 Melby Center,New Orleans,Louisiana,f1593938260268644c51345902d38532,7/29/2016
Bartholemy Kment,Department B,$50.33,90,07835 Nova Parkway,Washington,District of Columbia,2f3bf8d928d195db4b6cbb3a44e3d5d7,8/16/2017
Bartholemy Kment,Department B,$17.59,34,83 Kim Junction,Akron,Ohio,5252580536864a651b2ef03d5a62cc4d,10/20/2016
Shane Simkins,Department B,$58.04,89,951 Meadow Vale Drive,Tulsa,Oklahoma,b19c33019498e9a49ca59b2916335004,12/15/2016
Powell Amorts,Department B,$49.51,74,95867 Cherokee Parkway,Dallas,Texas,cc23f8be6afb3d5fb89799fa5b15aa72,4/10/2017
Shena Reeson,Department B,$29.39,45,49863 Burrows Center,Reno,Nevada,a1eae12cdc82260832e6cb9f29789e9d,11/15/2016
Nell Lindup,Department C,$36.98,6,6 Briar Crest Hill,Atlanta,Georgia,08567f73ca422ef7e9a15fc35e2ac784,3/21/2017
Zaneta Delmage,Department B,$71.91,55,788 Sheridan Junction,Shreveport,Louisiana,e91adb7206f426c0ba4246cc8dceac37,2/23/2017
Ortensia Le,Department C,$83.13,52,5 Vernon Circle,Newark,New Jersey,5be0d3aa0fa296cbd07717f073c25cc8,6/16/2017
Powell Amorts,Department B,$59.49,74,7423 Dapin Pass,Lexington,Kentucky,13c49b100059d0df65fa5573bb6172ee,5/22/2017
Bartholemy Kment,Department B,$8.45,38,33207 Meadow Ridge Center,Los Angeles,California,8082b6477ae3ebcf98674f58308f8fb4,11/9/2016
Chad Yeatman,Department A,$66.51,7,5555 Nevada Crossing,Waco,Texas,69cd9cb5be2c264c0e6e254e88539397,5/7/2016
Linn Becerra,Department B,$99.70,19,96300 Fairfield Avenue,Austin,Texas,1db203c27b44481a2c0c5836b67a5e3e,8/20/2016
Krystle Boothe,Department D,$72.26,50,1 Esker Court,Miami,Florida,67fbb1b9036ff92adbc594ef6774daa1,2/21/2017
Dallas Le,Department B,$23.09,51,60144 Ridgeway Way,Silver Spring,Maryland,17db9e73a899fafdedb80b9d4f67a7f8,4/25/2016
Bartholemy Kment,Department B,$51.25,50,0402 Warrior Road,Phoenix,Arizona,3adcc1b6832227e8d174f0714d367e52,3/14/2017
Ignacio Arpur,Department A,$91.58,5,8074 Chinook Plaza,New Orleans,Louisiana,2166565c800bee6565e869740a250be0,4/21/2016
Rutherford Kermath,Department D,$51.96,87,378 Northfield Crossing,Winston Salem,North Carolina,16f10e4189f87ec98108be7e6c3ad122,3/5/2016
